name,bftId,platform,audience,religion,ideology,stance,evidence,source,links,handleSource,network,allianceScore,related,researchNotes,podcastStatus,seedStage,baselineAudience,nationality,addedBy,audienceGeography,costPaid,costDate,costSource,talentEvidence,sourceUrl
Ilya Shapiro,inf-f04123b0,"Manhattan Institute, City Journal, Substack","Prominent constitutional-law commentator, major-outlet reach",Jewish,"Constitutional law/free speech, anti-antisemitism",pro,"Director of constitutional studies and senior fellow at the Manhattan Institute (same institutional home as Christopher Rufo and Josh Appel, both in this database), contributing editor at City Journal. Board of fellows, Jewish Policy Center. Testified before the New York Advisory Committee to the U.S. Commission on Civil Rights on ""Discrimination Against Jews on College and University Campuses Since Oct. 7, 2023"": ""the heart of antisemitism in America lies on campus."" Wrote on Berkeley Law student groups amending bylaws to permanently exclude pro-Israel/Zionist speakers. Spoke at a Republican Jewish Coalition event on ""The Crisis in Higher Education."" Spotlighted in John Hood's ""New Faces"" FreeCon piece.","manhattan.institute, ilyashapiro.substack.com, rjchq.org, city-journal.org, freedomconservatism.org",x.com/ilyashapiro,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),Business Leader,,,,,,,,,,,,,,
Anne Neuberger,inf-91ce659d,"a16z (partner), ex-Deputy National Security Advisor for Cyber",National security / tech leadership,"Jewish (Orthodox, Touro/Lander)","National security, cyber",pro,Former Deputy National Security Advisor for Cyber & Emerging Tech (Biden admin) and decade-plus NSA leader; became a full-time a16z partner leading global affairs (Jun 2026) -- a live bridge to the a16z inclusion criterion. Orthodox Jewish; grandparents were Holocaust survivors and her parents were Entebbe hostages rescued by Israeli commandos (Operation Thunderbolt). Founder of Sister to Sister (nonprofit for single Jewish mothers).,"Wikipedia, a16z.com, State Dept, CFR",x.com/anneneuberger,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),Business Leader,90,,,,,,,,,,,,,
Kathryn (Kate) Amel,inf-5475198f,The Genesis Prize Foundation (Executive Assistant to the CEO),Genesis Prize senior leadership support,Unknown,Nonprofit/philanthropic operations,pro,"Executive Assistant to the CEO at The Genesis Prize Foundation, supporting senior leadership and overseeing complex operational functions. Previously held corporate strategy/operations leadership roles at Anchiano Therapeutics and Interleukin Genetics (HR, budgeting, board relations); earlier led program operations and grant management at The CAYL Institute and co-authored 'The New Early Childhood Professional' (Teachers College Press). B.A. History and Political Science, Boston University; based in Boston. Genesis Prize affiliation is a strong institutional pro signal per criteria.",Andy-provided bio; genesisprize.org,,,Business Leader,70,The Genesis Prize Foundation,,,,,,,,,,,,
Fitzgerald Haney,inf-036bf71f,"The Genesis Prize Foundation (Managing Director, Latin America); fmr US Ambassador to Costa Rica",Diplomatic / philanthropic,Unknown,Diplomacy / philanthropy,pro,"Former U.S. Ambassador to Costa Rica, now Managing Director for Latin America at the Genesis Prize Foundation (hits the Genesis Prize criterion). Already present in the raw LinkedIn 1st-degree connections import -- promoted here from backend to a curated entry.","LinkedIn (user's 1st-degree connections export), Genesis Prize Foundation",,,Business Leader,80,,,,,,,,,,,,,
Marc Andreessen,inf-427b0f61,"Andreessen Horowitz (a16z) co-founder, X",Massive tech/political influence,Unknown,Tech Right / techno-optimist,pro,"Co-founder of a16z (hits the a16z inclusion criterion), anchor 'Tech Right' VC firm with pro-West orientation; hired Anne Neuberger as global-affairs partner. Publicly aligned with the pro-growth, anti-woke, pro-West coalition. Added on team-alignment + institutional grounds.","Public record, a16z.com",x.com/andreessenmarc,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),Business Leader,75,,Confirm specific Israel statements; currently pro on Tech Right / pro-West coalition alignment and firm orientation.,,,,,,,,,,,
Nicholas Thompson,inf-da2154ed,The Atlantic (CEO),Major media executive,Unknown,Media leadership,neutral,CEO of The Atlantic. Prominent media executive; no clear personal Israel stance found in this research pass. Added as a high-value media-network node to research.,Public record,,,Business Leader,50,,Determine his and The Atlantic's editorial posture toward Israel; no documented personal stance yet -- do not assume.,,,,,,,,,,,
Elon Musk,inf-280464e0,"X (owner), Tesla/SpaceX, massive social reach",Hundreds of millions,Unknown,Tech / free-speech populist,yellowflag,"YELLOW FLAG -- genuinely mixed. Nov 2023: publicly endorsed an antisemitic 'great replacement'-adjacent post, triggering a major advertiser/ADL crisis. Then visited Israel and Auschwitz (with Ben Shapiro), condemned antisemitism, and has platformed pro-Israel voices; but also reinstated banned accounts and drew a Jan 2025 gesture controversy. Consequential and often supportive, but not a clean ally -- monitor.",Public record (2023-2026),x.com/elonmusk,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),Business Leader,55,,Track trajectory; stance is genuinely contested -- document specific statements rather than assuming a fixed position.,,,,,,,,,,,
Larry Ellison,inf-81d4254a,"Oracle (founder/CTO), philanthropy",One of the world's wealthiest individuals,Jewish (born to Jewish parents),Business/tech titan,pro,Oracle founder (company already tracked in Businesses tab); historically the largest private donor to Friends of the IDF; close personal relationship with PM Netanyahu; drove Oracle's Jerusalem data center. Family now controls Paramount/CBS through son David Ellison -- arguably the most strategically significant pro-Israel family in American business and media.,"Times of Israel, JTA, public record",x.com/larryellison,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),Business Leader,95,,,,,,,,,,,,,
David Ellison,inf-b09e3324,Paramount Skydance (CEO),"Controls CBS, Paramount+, major studio",Jewish heritage (son of Larry Ellison),Business/media,pro,"CEO of Paramount Skydance after the 2025 merger; installed Bari Weiss as CBS News editor-in-chief and acquired her Free Press for $150M -- the single largest pro-Israel-aligned realignment of a legacy US news network in memory. NOTE: user wrote ""David Edison""; entered as David Ellison per context (Larry Ellison + CBS in the same request) -- flag if a different person was intended.","Variety, Status News, public record",x.com/david_ellison,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),Business Leader,80,,"Confirm ""David Edison"" meant David Ellison.",,,,,,,,,,,
Erica Mindel,inf-2e8b0812,"TikTok (Public Policy Manager, Hate Speech)",Policy influence over TikTok's global hate-speech rules,Jewish (American-Israeli),Platform policy / antisemitism-fighting,pro,"TikTok's Public Policy Manager for hate speech since Jul 2025 -- ex-IDF (Armored Corps + Spokesperson's Unit), self-described proud Zionist, tasked with combating a reported 912% rise in antisemitic content on the platform since Oct 2023. Previously supported Special Envoy Deborah Lipstadt's antisemitism office at the State Department and served at AJC. A strategically vital inside-the-platform ally.","Jerusalem Post, JFeed, Jewish News UK",jpost.com/diaspora/article-862765,,Business Leader,85,,,,,,,,,,,,,
Gary Vaynerchuk,inf-5a34dcda,"VaynerMedia (CEO), massive social presence",15M+ across platforms,Jewish (Belarus-born immigrant),Business/entrepreneurship media,pro,VaynerMedia founder/CEO and one of the most-followed business personalities on earth; Jewish immigrant (family left Soviet Belarus); has spoken against antisemitism post-Oct 7. Silent-majority principle applies to his largely apolitical content -- his identity and statements when made are the signal.,Public record,x.com/gvaynerchuk,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),Business Leader,75,,,,,,,,,,,,,
David Meltzer,inf-4220bd8a,Speaking/podcasts (co-founder Sports 1 Marketing),Large business-motivation audience,Jewish,Business/sports marketing,pro,Sports-marketing executive (co-founded Sports 1 Marketing with Warren Moon; former Leigh Steinberg COO) and prolific motivational-business personality; Jewish and publicly proud of it. Silent-majority principle applies.,Public record,x.com/davidmeltzer,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),Business Leader,60,,Verify any explicit Israel/antisemitism statements.,,,,,,,,,,,
Tim Dunn,inf-168d499c,CrownQuest Operating / CrownRock LP (CEO); IAF Christian Advisory Board (Chairman),Major Texas donor/philanthropist,Christian (evangelical),Conservative philanthropy / energy business,pro,Chairman of the Israel Allies Foundation Christian Advisory Board; co-founder/CEO of oil & gas firm CrownQuest Operating (and CrownRock LP) and a major conservative philanthropist. Also #41 on IAF's 2025 Top 50 Christian Allies. His companies added to Businesses tab per ally-org rule.,Israel Allies Foundation (Christian Advisory Board); IAF Top 50 2025,x.com/timdunn,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),Business Leader,85,"Israel Allies Foundation, CrownQuest Operating",,,,,,,,,,,,
"C.R. ""Dick"" Saulsbury",inf-31374962,Saulsbury Industries (Founder); IAF Christian Advisory Board,Texas business/philanthropy,Christian,Conservative philanthropy / industrial business,pro,Founder of Saulsbury Industries and philanthropist; IAF Christian Advisory Board member and #6 on IAF's 2025 Top 50 Christian Allies.,Israel Allies Foundation; IAF Top 50 2025,,,Business Leader,80,"Israel Allies Foundation, Saulsbury Industries",,,,,,,,,,,,
Bill Holmes,inf-00b60098,"Mid-States Operating Co.; Trinity Royalty Partners, LP (Co-Founder)",Energy business/philanthropy,Christian,Conservative philanthropy / energy business,pro,"Entrepreneur (Mid-States Operating Company; co-founder/partner of Trinity Royalty Partners, LP); IAF Christian Advisory Board and #22 on IAF's 2025 Top 50 Christian Allies.",Israel Allies Foundation; IAF Top 50 2025,x.com/bill_holmes,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),Business Leader,78,Israel Allies Foundation,,,,,,,,,,,,
Jordanna McMillan,inf-29789aed,Israel Allies Foundation (US Director),IAF US operations,Unknown,Christian-Zionist political organizing,pro,Serves as US Director at the Israel Allies Foundation.,Israel Allies Foundation (Meet the Team),,,Business Leader,72,Israel Allies Foundation,Add contact/social links; map her congressional-affairs relationships (ally-expansion).,,,,,,,,,,,
Chloe Sparwath,inf-22a25c84,Israel Allies Foundation (Congressional Affairs Coordinator),IAF congressional relations,Unknown,Christian-Zionist political organizing,pro,Serves as Congressional Affairs Coordinator at the Israel Allies Foundation.,Israel Allies Foundation (Meet the Team),x.com/csparwath,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),Business Leader,70,Israel Allies Foundation,,,,,,,,,,,,
Leopoldo Martinez,inf-2a72d485,Israel Allies Foundation (Latin America Director),IAF Latin America network,Unknown,Christian-Zionist political organizing,pro,Serves as the Latin America Director for the Israel Allies Foundation.,Israel Allies Foundation (Meet the Team),,,Business Leader,70,Israel Allies Foundation,,,,,,,,,,,,
Leo van Doesburg,inf-6e260efd,Israel Allies Foundation Europe (Executive Director),IAF Europe network,Christian,Christian-Zionist political organizing,pro,Serves as the Executive Director of IAF Europe.,Israel Allies Foundation (Meet the Team),,,Business Leader,72,Israel Allies Foundation,,No podcast (TARGET),Candidate,IAF Europe network,,,,,,,,
Reverend Dennis Nthumbi,inf-3d277fc8,Israel Allies Foundation (Africa Director),IAF Africa network,Christian,Christian-Zionist political organizing,pro,Serves as the Israel Allies Foundation's Africa Director.,Israel Allies Foundation (Meet the Team),x.com/nthumbidennis,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),Business Leader,72,Israel Allies Foundation,,No podcast (TARGET),Candidate,IAF Africa network,,,,,,,,
Christopher Ruddy,inf-d8a1e841,Newsmax (Founder & CEO),Major conservative cable/streaming audience,Christian (Catholic),Conservative media,pro,Founder and CEO of Newsmax; #24 on IAF's 2025 Top 50 Christian Allies. Controls a major pro-Israel-friendly conservative news network.,Israel Allies Foundation 'Israel's Top 50 Christian Allies 2025',,,Business Leader,80,Newsmax,,No podcast (TARGET),Candidate,Major conservative cable/streaming audience,,,,,,,,
