name,bftId,ctype,appliesTo,effect,description
Stance categories,crit-84af6a85,Methodology,All people,Classification,Every person is classified pro / hostile / neutral / yellowflag / redflag. 'pro' = ally (explicit or by team-alignment judgment). 'hostile' = actively anti-Israel/antisemitic. 'neutral' = no clear lean or genuinely mixed. See flag rules for yellow/red.
Alliance Score (1-100),crit-59e73e90,Scoring,Influencer network,Scoring,"Team-alignment intensity independent of the stance category. A rock-solid pro can be 95; a coalition-of-convenience pro can be 55. Lets us rank within 'pro' rather than treating all allies as equal. Backfilled from stance as a starting point, refined per-entry."
Team-alignment judgment,crit-594eab97,Methodology,All people,Lean pro,"Coalition allies against the left generally count as 'pro' even without an explicit pro-Israel statement, per Andy's qualified judgment. Someone can be mildly critical of Israel or the Iran war and still be 'on our team,' especially united against the left. Applied to New Right / conservative-media figures (Rufo, Lindsay, Keeperman, Alex Clark, etc.)."
Silent-majority principle,crit-2949cecb,Methodology,Business network,Do not penalize silence,"Business professionals and leaders generally will NOT post publicly about Israel, Judaism, or antisemitism -- that's normal professional behavior, not a negative signal. Absence of public statements is expected for business figures and must not lower their score. (Contrast: for MEDIA figures who talk politics constantly, silence on Israel is more meaningful.)"
Philosemitic / institutional-proximity signal,crit-827289fc,Inclusion Signal,All people,Lean pro,"Evidence doesn't have to be Israel-specific. Amplifying Jewish talent, Yeshiva University / RIETS credentials, Tikvah or Hertog Foundation fellowships, shared institutional homes with confirmed allies (Manhattan Institute, etc.), or writing warmly about Jewish institutional life all count as real positive signal. (John Hood spotlighting Josh Appel; Appel, Shapiro, Cost, Guerra.)"
Enemy-of-my-enemy CAUTION,crit-30508987,Methodology,All people,"Investigate, don't assume","A shared enemy (e.g., feuding with a known antisemite) is a LEAD to investigate, NOT proof of alliance. Verify the actual reason before scoring. Example: the Cernovich/Marjorie Taylor Greene feud was about her congressional resignation, not antisemitism -- so it is NOT evidence of a pro-Israel stance despite surface appeal."
"Circumstantial signals = leads, not verdicts",crit-e7390e86,Methodology,All people,Flag for research,"Guilt/innocence-by-association, secondhand claims, and shared-affiliation hunches are surfaced as leads worth checking, but are verified against documented evidence before becoming a stance call. (Corrected the 'Justin/Deconstruction Zone is Noahide' claim and the Messi 'pro-Israel' viral claim this way.)"
Firsthand knowledge = primary source,crit-9181e769,Methodology,All people,Primary evidence,"For people in Andy's own network (LinkedIn connections, personal acquaintances), Andy's firsthand knowledge -- fraternal/organizational affiliations, directly observed behavior -- is treated as a primary source, often stronger than public-record search. (Dustin Tropp: AEPi chapter president, Groyper-filtering.)"
Suggested Follow-Up Research field,crit-53e4010d,Methodology,All people,Track open questions,"Entries can carry an explicit 'to research' note for open questions a human should resolve manually, rendered as an amber flag on the card. Keeps unknowns visible instead of buried."
Data provenance / ethics,crit-c4697cec,Data Ethics,Israeli Tech Ecosystem,Sourcing rule,"Do NOT bulk-extract gated or licensed databases (Start-Up Nation Central Finder, etc.). Permitted sources: open web, firsthand knowledge, government/public promotion material, and brief attributed excerpts where a license explicitly allows (Claw & Talon). Selection/curation must originate from open research or Andy's judgment, not from reproducing a protected compilation."
Yellow flag,crit-04620df9,Flag Rule,All people,Monitor,"Genuinely mixed / complicated signal worth monitoring rather than writing off -- NOT clear hostility. Says supportive things but undercuts in practice, or has a real but contested record. (Steve Bannon, Mike Cernovich, Floyd Mayweather.)"
Red flag,crit-9a9e1008,Flag Rule,All people,DO NOT ENGAGE,"A conduct/safety/criminal issue, independent of Israel stance. Association would damage BFT credibility regardless of the person's pro-Israel content. This is NOT a stance judgment -- it's a reputational/safety exclusion. (Tommy Robinson, David Wood.)"
Network: Influencer / Media,crit-5be0426e,Network Definition,Influencer network,Categorization,"Media personalities, commentators, podcasters, journalists, public intellectuals, creators. Silence on Israel IS informative here (they talk politics for a living). Tracked in the Influencer tab with network = 'Media/Influencer'."
Network: Business,crit-32a6d888,Network Definition,Business network,Categorization,"Founders, executives, investors, operators. Silent-majority principle applies -- judged on affiliations, associations, and firsthand knowledge rather than public posts. Tracked with network = 'Business' (people) and in the Organizations / Israeli Tech tabs (entities)."
