name,bftId,platform,audience,nurtureType,religion,nationality,stance,allianceScore,links,evidence,researchNotes,addedBy,source,handleSource,costPaid,talentEvidence,related,sourceUrl
Jackson Perkins,nur-a07871d8,Instagram (@jacksonperkins),TBD -- verify,Likely ally (unasked),Unknown,Unknown,neutral,45,instagram.com/jacksonperkins,"Andy-submitted NURTURE target: not confirmed pro-Israel or philosemitic, but background suggests he likely would be if asked.","VERIFY identity, platform size, and background. Instagram counts are not fetchable to me -- Andy to supply.",Andy,Andy-submitted,,,,,
Adam Francisco,nur-e82cf745,YouTube (@AdamFrancisco),TBD -- verify,Likely ally (unasked),Christian (apologetics),Unknown,neutral,48,youtube.com/@AdamFrancisco; x.com/adamfrancisco1,"Andy-submitted NURTURE target: Christian apologetics-adjacent creator; likely aligned if asked, not yet confirmed.",Verify his theology (esp. supersessionism vs. covenant -- the Doug Wilson lesson) before elevating.,Andy,Andy-submitted,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),,,,
HanShawnity,nur-a1adeae4,X (@HanShawnity),X (@HanShawnity) 36.5K followers (browser-verified 17 Jul 2026); 36.4K followers (per Andy),Rising/emerging (<50K),Unknown,Unknown,neutral,45,x.com/HanShawnity,"Andy-submitted RISING/EMERGING target -- 36.4K followers, below the 50K threshold that defines this category. Early-stage influence; the point of nurture is to back people BEFORE they break out (the seed-100 logic applied one tier down).",Verify identity + stance. X counts are not fetchable to me.,Andy,Andy-submitted,,,,,
Aria (@Ariathome),nur-da48bf0a,Music/entertainment; X,TBD,Flip target,Unknown,Unknown,redflag,15,x.com/Ariathome,"FLIP TARGET WITH RED FLAG (Andy's framing): supported Mamdani -- a genuine adverse signal, not a neutral one. Andy's question is whether he can be flipped. Recorded honestly as red-flagged rather than laundered into 'nurture' as if neutral: nurture here means 'potential flip', NOT 'likely ally'.",Assess whether the Mamdani support is conviction or milieu. Do not invest before that is answered -- flip attempts on convicted opponents burn credibility.,Andy,Andy-submitted,,,,,
Jackie Chea,nur-83bc2cd5,X (@Fair_and_Biased),X (@Fair_and_Biased) 22K followers (browser-verified 17 Jul 2026); ~22K followers (per Andy),Likely ally (unasked),Unknown,Unknown,neutral,48,x.com/Fair_and_Biased,"Andy-submitted NURTURE: posted positively about Ben Shapiro and has expressed wanting to visit Israel -- both early positive signals, neither yet a costly stand.",Verify identity + the Ben Shapiro / Israel-visit signals. A visit would be a good BFT touchpoint (cf. the Passages/trip model).,Andy,Andy-submitted,,"ORGANIC SIGNAL (sub-30K rule): X verified at 22K on 17 Jul 2026 -- below the 30K threshold, so unlikely to be worth paying, i.e. the pro-Israel/pro-Shapiro sentiment is probably sincere. Still needs the earliest-content check for confirmation.",~22K X following; growing.,,https://x.com/Fair_and_Biased
Ally Kiss (@AllyJKiss),nur-95e418fd,X (@AllyJKiss),TBD -- verify,Watch,Unknown,Unknown,neutral,40,x.com/AllyJKiss,"Andy-submitted handle only, no evidence supplied. UNVERIFIED.","Andy supplied only the handle. Verify who she is, her audience size, and any Israel signal before assessing. Do not assume a stance.",Andy,Andy-submitted,,,,,https://x.com/AllyJKiss
Armand Klein (@ArmandKleinX),nur-5b3cbd68,X (@ArmandKleinX),TBD -- verify,Watch,Unknown,Unknown,neutral,40,x.com/ArmandKleinX,"Andy-submitted handle only, no evidence supplied. UNVERIFIED.","Andy supplied only the handle. Verify identity, audience, and Israel signal before assessing.",Andy,Andy-submitted,,,,,https://x.com/ArmandKleinX
Jake Hilton (@TheDemSlayer),nur-f2e81643,"YouTube (@TheDemSlayer -- 'Into the Forge'), X",YouTube 747 subscribers (verified 16 Jul 2026),Rising/emerging (<50K),Unknown,American,neutral,40,x.com/TheDemSlayer; youtube.com/@TheDemSlayer,"Andy-submitted. Very early-stage (747 YT subs) -- squarely rising/emerging. CAUTION FLAG: the handle 'DemSlayer' signals anti-Democrat, which is NOT the same as pro-Israel -- this is the 'enemy of my enemy' trap Andy flagged. Anti-woke/anti-Dem creators frequently drift into the Groyper/Fuentes orbit that this project exists to counter.","VERIFY he is actually PRO-ISRAEL, not merely anti-Democrat, before any investment. Check his content directly for Israel stance AND for any Tucker/Fuentes-adjacent signals. High risk, unproven.",Andy,Andy-submitted,,,Early-stage: daily livestreamed political show 'Into the Forge'; 747 YouTube subs.,,https://youtube.com/@TheDemSlayer
Taryn Thomas,nur-e3a0ade7,YouTube; campus advocacy,TBD -- verify (Stanford student),Rising/emerging (<50K),Unknown,American,pro,62,,Andy-submitted to Rising Stars/Nurture (youtube.com/watch?v=-Eze-K7DT0o). Pro-Israel advocate; Black woman -- a demographic that is strategically valuable and under-represented among visible pro-Israel voices.,"TEXTBOOK SEED-100 / NURTURE profile: young, early-audience, articulate, on a top campus (the exact Hillsdale/UATX-style pipeline logic). Verify her handles and audience; back her early. Capture the specific advocacy content.",Andy,Andy-submitted,,,Stanford student and articulate pro-Israel campus advocate.,,https://www.youtube.com/watch?v=-Eze-K7DT0o
Kennedy Goetz,nur-573bf863,"Instagram (@kennedy.goetz), LinkedIn, YouTube; The Conservative Alternative","~4,177 IG followers (per Andy)",Rising/emerging (<50K),Christian,American,neutral,52,instagram.com/kennedy.goetz; linkedin.com/in/kennedy-goetz-810378189,"Andy-submitted as a possible nurture. ~4,177 followers (sub-30K -> organic-leaning per the heuristic). Aligned with Pete Hegseth and Marco Rubio; a post after the Vance-Rogan interview listed a Vance > Rubio > Hegseth preference.","SUB-30K ORGANIC candidate. Verify her own Israel stance (currently inferred from the Conservative Alternative association -- relational, not personal). Friends with Jayne Zirkle (also worth checking). Andy notes 'perhaps their view will change' on the Vance-vs-Rubio question -- a trajectory to watch.",Andy,Andy-submitted,,,~4.2K IG following; connected to The Conservative Alternative and friends with Jayne Zirkle.,"The Conservative Alternative, Jayne Zirkle",https://www.instagram.com/kennedy.goetz/
