name,bftId,level,office,party,evidence,sourceUrl,source,links,handleSource,stance,votingRecord,redLineCheck,researchNotes,addedBy,related
Nikki Haley,pol-9d4d9665,National,"Former UN Ambassador, 2024 Presidential Candidate",Republican,Consistent hawkish pro-Israel record at UN; Hudson Institute Global Leadership Award honoree.,https://www.hudson.org/experts/nikki-haley,Hudson Institute,x.com/nikkihaley,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),,,,,,
Mike Johnson,pol-91ddbb31,National,Speaker of the House,Republican,Most powerful evangelical in US government; says faith mandates Israel support.,,"NPR, Congress.gov",,,pro,"MEASURED: 22/22 = 100% pro-Israel. Voted YEA on every one of the 22 clean Israel-related House roll calls they were present for, 2015-2026 -- zero NO, zero PRESENT. Source: House Clerk roll-call XML (clerk.house.gov/evs).",,,,
Ted Cruz,pol-6b0ab855,National,"US Senator, TX",Republican,"Evangelical, vocally pro-Israel; co-hosts Verdict podcast with Ben Ferguson.",https://www.congress.gov/member/ted-cruz/C001098,"FeedSpot, Senate record",x.com/tedcruz,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),,,,,,
Tim Scott,pol-785a06da,National,"US Senator, SC",Republican,"Black evangelical Republican senator, vocally and consistently pro-Israel.",https://www.congress.gov/member/tim-scott/S001184,Senate record,,,,,,,,
Dave McCormick,pol-00929a18,National,"US Senator, PA",Republican,Followed by Andy directly; general pro-Israel Republican Senate bloc.,https://www.congress.gov/member/david-mccormick/M001243,LinkedIn connection,x.com/davemccormick,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),,,,,,
Bernie Moreno,pol-e8898a9a,National,"US Senator, OH",Republican,Followed by Andy directly; general pro-Israel Republican Senate bloc.,https://www.congress.gov/member/bernie-moreno/M001242,LinkedIn connection,x.com/berniemoreno,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),,,,,,
Ashley Hinson,pol-100684a8,National,"US Representative, IA-02 / Senate candidate",Republican,Followed by Andy directly.,https://www.congress.gov/member/ashley-hinson/H001091,LinkedIn connection,x.com/ashleyhinson,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),,,,,,
Eli Crane,pol-86d1c3d6,National,"US Representative, AZ-02",Republican,"Veteran, followed by Andy directly.",https://www.congress.gov/member/elijah-crane/C001132,LinkedIn connection,x.com/elicrane,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),,,,,,
Ritchie Torres,pol-169672c1,National,"US Representative, NY",Democrat,"Most vocal pro-Israel Democrat in Congress, challenges antisemitism from the left.",https://www.congress.gov/member/ritchie-torres/T000486,Unpacked Media 2024,,,,,,,,
Kelly Loeffler,pol-a45a87ad,National,"SBA Administrator, former Senator GA",Republican,Followed by Andy directly.,https://www.congress.gov/member/kelly-loeffler/L000594,LinkedIn connection,x.com/kellyloeffler,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),,,,,,
Bruce Blakeman,pol-a505661c,Local,"Nassau County Executive, NY",Republican,Followed by Andy directly &mdash; active on antisemitism/local Jewish community issues.,https://www.nassaucountyny.gov/1573/County-Executive,LinkedIn connection,x.com/bruceblakeman,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),,,,,,
Nathan Hochman,pol-b00e78de,Local,LA County District Attorney,Republican,Followed by Andy directly.,https://da.lacounty.gov/about/district-attorney,LinkedIn connection,x.com/nathanhochman,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),,,,,,
Mayes Middleton,pol-91f1dd94,State,Texas State Representative,Republican,Followed by Andy directly.,https://senate.texas.gov/member.php?d=11,LinkedIn connection,x.com/mayes_middleton,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),,,,,,
Jane Castor,pol-c1fcd281,Local,"Mayor, Tampa FL",Nonpartisan/Democrat,Followed by Andy directly &mdash; needs Israel-specific verification.,https://www.tampa.gov/mayor,NEEDS VERIFICATION,x.com/janecastor,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),,,,,,
Josh Shapiro,pol-1bb1e550,State,Governor of Pennsylvania,Democrat,Jewish governor of a must-win swing state; proudly public about his faith and pro-Israel stance; survived an arson attack on the Governor's Residence during Passover 2025. The most prominent pro-Israel Democrat executive in America.,https://www.pa.gov/agencies/governor.html,Public record,x.com/josh_shapiro,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),,,,,,
Chip Roy,pol-30e67836,National,"US Representative, TX-21",Republican,Constitutional-conservative stalwart with a consistent pro-Israel record; influential in the House Freedom Caucus wing where anti-Israel drift is a live risk -- an important internal counterweight.,https://www.congress.gov/member/chip-roy/R000614,Congressional record,x.com/chiproy1,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),pro,"MEASURED: 20/22 (90.9%) pro-Israel across 30 clean Israel roll calls, 2015-2026. Voted YEA on the Iron Dome supplemental (H.R.5323, 2021). Voted NAY on H.R.8034 (2024).","NOT a red line. He voted FOR Iron Dome and sits at 90.9% pro-Israel; his lone NO was on an emergency supplemental, consistent with his across-the-board opposition to unoffset emergency spending. A literal reading of the red-line rule would have wrongly flagged him.",,,
Hakeem Jeffries,pol-11a5a8de,National,"House Minority Leader, NY-8",Democrat,House Democratic leader with a solidly pro-Israel record relative to his caucus's left flank -- spoke forcefully against antisemitism post-Oct 7. Per Andy: 'about as far left as we're willing to go' -- the outer marker of the coalition's left boundary.,,Congressional record; user note,x.com/hakeemjeffries,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),pro,"MEASURED: 29/29 = 100% pro-Israel. Voted YEA on every one of the 29 clean Israel-related House roll calls they were present for, 2015-2026 -- zero NO, zero PRESENT. Source: House Clerk roll-call XML (clerk.house.gov/evs).",,,,
Sam Brownback,pol-df7f2e2d,National,"Former US Senator (KS), Governor, Ambassador-at-Large for Int'l Religious Freedom",Republican,Former senator/governor and Ambassador-at-Large for International Religious Freedom; #7 on IAF's 2025 Top 50 Christian Allies. A leading religious-freedom statesman bridging faith and policy.,https://www.congress.gov/member/samuel-brownback/B000953,Israel Allies Foundation 'Israel's Top 50 Christian Allies 2025',x.com/sambrownback1,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),,,,,,
Dr. Dave Weldon,pol-810f3b6d,National,Former US Congressman (FL); physician,Republican,Former US Congressman and physician; Chairman of the Israel Allies Foundation Board and a founding member of the Congressional Israel Allies Caucus. #20 on IAF's 2025 Top 50 Christian Allies.,https://www.congress.gov/member/david-weldon/W000267,Israel Allies Foundation; IAF Top 50 2025,Israel Allies Foundation; x.com/daveweldon1,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),,,,,,
Mike Sodrel,pol-8685ccc6,National,Former US Congressman (IN); business leader,Republican,Former US Congressman and business leader; former member of the Congressional Israel Allies Caucus; IAF Christian Advisory Board. #43 on IAF's 2025 Top 50 Christian Allies.,https://www.congress.gov/member/michael-sodrel/S001160,Israel Allies Foundation; IAF Top 50 2025,x.com/mikesodrel,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),,,,,,
Trent Franks,pol-a4413400,National,Former US Congressman (AZ),Republican,Former US Congressman and former Co-Chair of the Congressional Israel Allies Caucus; IAF Christian Advisory Board member.,https://www.congress.gov/member/trent-franks/F000448,Israel Allies Foundation (Christian Advisory Board),x.com/trentfranks,auto-matched 18 Jul 2026 (X display name matched first+last; spot-check before relying on it),,,,,,
